section,key,fund,value,detail
set_total,2026-05-27,ACH,9394987.52,stated=9394987.52;status=reconciled;lines=2189;checks=407;hash_total=3710293136538
set_total,2026-05-27,ASB,181039.41,stated=181039.41;status=reconciled;lines=316;checks=100;hash_total=64886905772
set_total,2026-05-27,Capital,1047509.82,stated=1047509.82;status=reconciled;lines=39;checks=27;hash_total=9267431459
set_total,2026-05-27,GF,3388060.86,stated=3388060.86;status=reconciled;lines=1555;checks=350;hash_total=65034344695
set_total,2026-05-27,Transportation,173922.13,stated=173922.13;status=reconciled;lines=1;checks=1;hash_total=900062
register_crosscheck,2026-05-27,ACH,0.00,basis=ap_direct_deposit;register=9394987.52;listing=9394987.52;reason=MATCH
register_crosscheck,2026-05-27,ASB,1265.09,basis=warrants_plus_pcard;register=179774.32;listing=181039.41;reason=REGISTER_MISMATCH
register_crosscheck,2026-05-27,Capital,0.00,basis=warrants_plus_pcard;register=1047509.82;listing=1047509.82;reason=MATCH
register_crosscheck,2026-05-27,GF,4615.89,basis=warrants_plus_pcard;register=3383444.97;listing=3388060.86;reason=REGISTER_MISMATCH
top_vendor,GREEN RIVER COLLEGE,,2988834.00,lines=1;checks=1;all_reconciled=True
top_vendor,Puget Sound Energy,,948738.74,lines=20;checks=5;all_reconciled=True
top_vendor,Sunburst Workforce Advisors LLC,,895265.97,lines=14;checks=6;all_reconciled=True
top_vendor,Pac West Mechanical LLC,,648048.00,lines=1;checks=1;all_reconciled=True
top_vendor,US Foods - Seattle,,449211.70,lines=24;checks=6;all_reconciled=True
top_vendor,Bank Of America,,428682.04,lines=1222;checks=15;all_reconciled=True
top_vendor,Everdriven Technologies LLC,,379989.98,lines=18;checks=5;all_reconciled=True
top_vendor,AMAZON CAPITAL SERVICES,,347949.01,lines=1194;checks=6;all_reconciled=True
top_vendor,Highline College,,341053.45,lines=2;checks=2;all_reconciled=True
top_vendor,First Student Inc,,313731.10,lines=21;checks=5;all_reconciled=True
top_vendor,GenCap Construction Corp,,310898.08,lines=1;checks=1;all_reconciled=True
top_vendor,Bellevue College,,258963.34,lines=1;checks=1;all_reconciled=True
top_vendor,KEA,,255633.94,lines=1;checks=1;all_reconciled=True
top_vendor,Comm in Schs of Kent,,236185.60,lines=6;checks=3;all_reconciled=True
top_vendor,City of Kent,,213367.43,lines=4;checks=3;all_reconciled=True
top_vendor,Elevation Healthcare LLC,,181382.38,lines=12;checks=1;all_reconciled=True
top_vendor,Schetky Northwest Sales Inc,,178313.90,lines=12;checks=5;all_reconciled=True
top_vendor,Brink Electric LLC,,175578.00,lines=2;checks=1;all_reconciled=True
top_vendor,CDW Government Inc,,150808.05,lines=3;checks=1;all_reconciled=True
top_vendor,Republic Svcs-#176/183,,138483.66,lines=2;checks=2;all_reconciled=True
top_vendor,Eagle Asphalt Sealcoating Co LLC,,127405.56,lines=3;checks=2;all_reconciled=True
top_vendor,PetroCard Inc,,111597.58,lines=5;checks=3;all_reconciled=True
top_vendor,GERSH ACADEMY SEATTLE LLC,,106300.64,lines=4;checks=1;all_reconciled=True
top_vendor,WCP Sol Inc,,100982.68,lines=167;checks=6;all_reconciled=True
top_vendor,Renton SD,,100451.16,lines=8;checks=2;all_reconciled=True
watch_list,Sunburst Workforce Advisors,,610158.65,2025-04-23
watch_list,Sunburst Workforce Advisors,,584420.74,2025-05-28
watch_list,Sunburst Workforce Advisors,,392944.59,2025-06-25
watch_list,Sunburst Workforce Advisors,,1249322.98,2025-07-23
watch_list,Sunburst Workforce Advisors,,278180.58,2025-08-13
watch_list,Sunburst Workforce Advisors,,26191.50,2025-09-24
watch_list,Sunburst Workforce Advisors,,35486.75,2025-10-22
