section,key,fund,value,detail
set_total,2026-06-24,ACH,5490076.68,stated=5490076.68;status=reconciled;lines=1596;checks=342;hash_total=3164389784649
set_total,2026-06-24,ASB,149650.79,stated=149650.79;status=reconciled;lines=206;checks=75;hash_total=37085708053
set_total,2026-06-24,Capital,932245.73,stated=932245.73;status=reconciled;lines=13;checks=11;hash_total=9264089216
set_total,2026-06-24,GF,2026444.30,stated=2026444.30;status=reconciled;lines=1129;checks=242;hash_total=37188718280
register_crosscheck,2026-06-24,ACH,,basis=ap_direct_deposit;register=None;listing=5490076.68;reason=REGISTER_NO_TEXT
register_crosscheck,2026-06-24,ASB,,basis=warrants_plus_pcard;register=None;listing=149650.79;reason=REGISTER_NO_TEXT
register_crosscheck,2026-06-24,Capital,,basis=warrants_plus_pcard;register=None;listing=932245.73;reason=REGISTER_NO_TEXT
register_crosscheck,2026-06-24,GF,,basis=warrants_plus_pcard;register=None;listing=2026444.30;reason=REGISTER_NO_TEXT
top_vendor,Waynes Roofing Inc,,811858.31,lines=1;checks=1;all_reconciled=True
top_vendor,First Student Inc,,558390.50,lines=4;checks=2;all_reconciled=True
top_vendor,Puget Sound Energy,,519090.46,lines=4;checks=2;all_reconciled=True
top_vendor,Pac West Mechanical LLC,,478637.95,lines=1;checks=1;all_reconciled=True
top_vendor,US Foods - Seattle,,452319.41,lines=30;checks=4;all_reconciled=True
top_vendor,Everdriven Technologies LLC,,319036.15,lines=9;checks=4;all_reconciled=True
top_vendor,Sunburst Workforce Advisors LLC,,300252.85,lines=4;checks=1;all_reconciled=True
top_vendor,Bank Of America,,295404.59,lines=883;checks=9;all_reconciled=True
top_vendor,KEA,,256645.88,lines=1;checks=1;all_reconciled=True
top_vendor,Brink Electric LLC,,225962.52,lines=3;checks=2;all_reconciled=True
top_vendor,PetroCard Inc,,214136.82,lines=8;checks=3;all_reconciled=True
top_vendor,GenCap Construction Corp,,200211.07,lines=2;checks=2;all_reconciled=True
top_vendor,AMAZON CAPITAL SERVICES,,198665.71,lines=873;checks=4;all_reconciled=True
top_vendor,Tacoma SD,,163272.42,lines=4;checks=2;all_reconciled=True
top_vendor,Comm in Schs of Kent,,146740.30,lines=5;checks=2;all_reconciled=True
top_vendor,City of Kent,,144924.75,lines=4;checks=3;all_reconciled=True
top_vendor,KCABA,,125850.00,lines=7;checks=1;all_reconciled=True
top_vendor,DUOTEC INC,,122234.53,lines=4;checks=3;all_reconciled=True
top_vendor,MCKINSTRY CO LLC,,120812.70,lines=6;checks=4;all_reconciled=True
top_vendor,Pacific Lutheran Univ,,100000.00,lines=1;checks=1;all_reconciled=True
top_vendor,College Board Inc,,91781.00,lines=4;checks=1;all_reconciled=True
top_vendor,GERSH ACADEMY SEATTLE LLC,,91214.96,lines=4;checks=1;all_reconciled=True
top_vendor,Renton SD,,84298.98,lines=8;checks=1;all_reconciled=True
top_vendor,HEARTSPRING INC,,82067.85,lines=2;checks=1;all_reconciled=True
top_vendor,Childrens Inst for Lrning Diff,,76461.75,lines=15;checks=2;all_reconciled=True
watch_list,Sunburst Workforce Advisors,,584420.74,2025-05-28
watch_list,Sunburst Workforce Advisors,,392944.59,2025-06-25
watch_list,Sunburst Workforce Advisors,,1249322.98,2025-07-23
watch_list,Sunburst Workforce Advisors,,278180.58,2025-08-13
watch_list,Sunburst Workforce Advisors,,26191.50,2025-09-24
watch_list,Sunburst Workforce Advisors,,35486.75,2025-10-22
watch_list,Sunburst Workforce Advisors,,1012574.33,2025-12-10
watch_list,Sunburst Workforce Advisors,,398849.69,2026-01-14
watch_list,Sunburst Workforce Advisors,,970495.51,2026-02-11
watch_list,Sunburst Workforce Advisors,,722422.23,2026-03-25
watch_list,Sunburst Workforce Advisors,,895265.97,2026-05-27
watch_list,Sunburst Workforce Advisors,,300252.85,2026-06-24
watch_list,Elevation Healthcare,,53335.50,2025-05-28
watch_list,Elevation Healthcare,,37816.13,2025-07-23
watch_list,Elevation Healthcare,,45525.32,2025-09-24
watch_list,Elevation Healthcare,,38181.33,2025-12-10
watch_list,Elevation Healthcare,,48085.50,2026-01-14
watch_list,Elevation Healthcare,,197885.38,2026-02-11
watch_list,Elevation Healthcare,,181382.38,2026-05-27
watch_list,Blazerworks,,28680.00,2025-05-28
watch_list,Blazerworks,,46870.00,2025-06-25
watch_list,Blazerworks,,24565.00,2025-07-23
watch_list,Blazerworks,,3386.25,2025-08-13
watch_list,Blazerworks,,153034.27,2025-09-24
watch_list,Blazerworks,,60884.50,2025-12-10
watch_list,Blazerworks,,155824.22,2026-01-14
watch_list,Blazerworks,,61566.30,2026-02-11
